"subject" "activity" "MeanSamples"
16 "WALKING" -0.362494857215613
16 "WALKING_DOWNSTAIRS" -0.16777604636927
16 "WALKING_UPSTAIRS" -0.347425274953415
17 "LAYING" -0.630857157921601
17 "SITTING" -0.676153811728447
17 "STANDING" -0.667603883132292
17 "WALKING" -0.289738619691571
17 "WALKING_DOWNSTAIRS" -0.185185441115629
17 "WALKING_UPSTAIRS" -0.268141568553653
18 "LAYING" -0.645444486988227
18 "SITTING" -0.673047099534856
18 "STANDING" -0.658686654338192
18 "WALKING" -0.373665728320533
18 "WALKING_DOWNSTAIRS" -0.327115890746027
18 "WALKING_UPSTAIRS" -0.39025327359213
19 "LAYING" -0.641514245816329
19 "SITTING" -0.657606101866705
19 "STANDING" -0.649942841859029
19 "WALKING" -0.0579579051613629
19 "WALKING_DOWNSTAIRS" 0.197405080281929
19 "WALKING_UPSTAIRS" -0.164101873424608
20 "LAYING" -0.637282637803338
20 "SITTING" -0.655563565737589
20 "STANDING" -0.618457266825123
20 "WALKING" -0.0790539691454674
20 "WALKING_DOWNSTAIRS" -0.000345810138480596
20 "WALKING_UPSTAIRS" -0.172841038301507
21 "LAYING" -0.628879231388124
21 "SITTING" -0.672333065437043
21 "STANDING" -0.654655889063237
21 "WALKING" -0.221111067645776
21 "WALKING_DOWNSTAIRS" -0.0927849870180199
21 "WALKING_UPSTAIRS" -0.264384050896307
22 "LAYING" -0.618637790040226
22 "SITTING" -0.649714701660116
22 "STANDING" -0.641310888675946
22 "WALKING" -0.144502432759216
22 "WALKING_DOWNSTAIRS" -0.100406069267239
22 "WALKING_UPSTAIRS" -0.15900006317038
23 "LAYING" -0.637879435834036
23 "SITTING" -0.655574483786764
23 "STANDING" -0.649476108042821
23 "WALKING" -0.0805618455473463
23 "WALKING_DOWNSTAIRS" 0.0393853252279795
23 "WALKING_UPSTAIRS" -0.225712981398841
24 "LAYING" -0.637593207048433
24 "SITTING" -0.666440603606397
24 "STANDING" -0.648831690809539
24 "WALKING" -0.336704341146835
24 "WALKING_DOWNSTAIRS" -0.19304604837009
24 "WALKING_UPSTAIRS" -0.327355624026813
25 "LAYING" -0.555717601429487
25 "SITTING" -0.666903980578928
25 "STANDING" -0.65359611865327
25 "WALKING" -0.398959908597739
25 "WALKING_DOWNSTAIRS" -0.296012410635221
25 "WALKING_UPSTAIRS" -0.39906920993764
26 "LAYING" -0.644016950230476
26 "SITTING" -0.66157919895145
26 "STANDING" -0.654732460040063
26 "WALKING" -0.299057726017245
26 "WALKING_DOWNSTAIRS" -0.128097684189973
26 "WALKING_UPSTAIRS" -0.29555682453606
27 "LAYING" -0.646337686938691
27 "SITTING" -0.667882079764868
27 "STANDING" -0.658099774988901
27 "WALKING" -0.295669258275017
27 "WALKING_DOWNSTAIRS" -0.133143989317174
27 "WALKING_UPSTAIRS" -0.332666256165189
28 "LAYING" -0.64896937704829
28 "SITTING" -0.660428561635688
28 "STANDING" -0.627157109078921
28 "WALKING" -0.294261963068427
28 "WALKING_DOWNSTAIRS" -0.0925398979566901
28 "WALKING_UPSTAIRS" -0.288723906424024
29 "LAYING" -0.646345085579128
29 "SITTING" -0.668290482704746
29 "STANDING" -0.66120382584693
29 "WALKING" -0.23808778665096
29 "WALKING_DOWNSTAIRS" -0.131367723552847
29 "WALKING_UPSTAIRS" -0.198643943489016
30 "LAYING" -0.633216181173367
30 "SITTING" -0.661430738986085
30 "STANDING" -0.629003963087451
30 "WALKING" -0.248109810463031
30 "WALKING_DOWNSTAIRS" -0.169500654189745
30 "WALKING_UPSTAIRS" -0.304003839202524
